,nation,varieties1,varieties2,varieties3,varieties4,varieties5,varieties7,varieties7,varieties8,varieties9,varieties10,varieties11,abv,degree,sweet,acidity,body,tannin
139,17,90,316,316,316,316,316,316,316,316,316,316,17.0,13.0,1,3,3,3
140,17,90,316,316,316,316,316,316,316,316,316,316,17.0,13.0,1,4,3,2
141,17,67,316,316,316,316,316,316,316,316,316,316,11.5,13.0,1,4,3,1
142,17,90,316,316,316,316,316,316,316,316,316,316,17.0,13.0,1,3,4,3
143,17,67,316,316,316,316,316,316,316,316,316,316,11.0,13.0,1,3,4,1
144,17,67,316,316,316,316,316,316,316,316,316,316,9.0,13.0,1,4,4,1
145,17,67,316,316,316,316,316,316,316,316,316,316,11.0,13.0,1,4,5,1
146,17,67,316,316,316,316,316,316,316,316,316,316,9.0,13.5,1,4,3,1
147,17,90,316,316,316,316,316,316,316,316,316,316,17.0,13.0,1,3,4,3
148,17,90,316,316,316,316,316,316,316,316,316,316,17.0,13.0,1,3,4,3
149,17,90,316,316,316,316,316,316,316,316,316,316,17.5,13.0,1,3,4,3
150,17,90,316,316,316,316,316,316,316,316,316,316,17.0,13.0,1,3,4,3
151,17,90,316,316,316,316,316,316,316,316,316,316,17.0,14.0,1,4,4,3
152,17,90,316,316,316,316,316,316,316,316,316,316,17.0,13.0,1,4,3,2
153,11,307,188,29,316,316,316,316,316,316,316,316,17.0,13.4,1,4,3,3
154,1,308,316,316,316,316,316,316,316,316,316,316,17.0,14.0,1,3,4,3
155,1,308,75,316,316,316,316,316,316,316,316,316,17.0,13.7,1,4,4,4
156,1,67,316,316,316,316,316,316,316,316,316,316,11.0,14.0,1,3,3,1
157,1,178,316,316,316,316,316,316,316,316,316,316,17.0,13.7,1,3,4,3
158,1,75,316,316,316,316,316,316,316,316,316,316,17.0,13.8,1,4,4,4
159,1,259,316,316,316,316,316,316,316,316,316,316,9.0,13.8,1,3,2,1
160,17,211,195,316,316,316,316,316,316,316,316,316,11.0,12.0,1,3,2,1
161,17,308,178,316,316,316,316,316,316,316,316,316,17.0,12.5,1,3,3,3
162,17,178,308,212,316,316,316,316,316,316,316,316,17.0,14.5,1,3,4,3
163,17,178,308,187,316,316,316,316,316,316,316,316,17.0,14.5,1,3,5,4
